Unit ID No. attached LOG
Date,Time,Y Number,Serial No.,Unit ID No.
2016/8/25,16:36:58,="YJ5108E02",="131X0371",="1024023175"
2016/8/25,16:45:9,="YJ5108E02",="131X0372",="1024023176"
2016/8/25,16:54:47,="YJ5108E02",="131X0373",="1024023343"
2016/8/25,17:8:33,="YJ5108E02",="131X0374",="1024023177"
2016/8/25,17:21:58,="YJ5108E02",="131X0375",="1024023178"
2016/8/25,18:59:34,="YJH139E02",="00000492",="1024023179"
2016/8/25,19:12:39,="YJH139E02",="00000493",="1024023180"
2016/8/25,19:51:6,="YJH139E02",="00000494",="1024023181"
2016/8/25,19:59:59,="YJH139E02",="00000495",="1024023182"
2016/8/26,12:7:20,="YJH139E00",="00000395",="1024023183"
2016/8/26,13:21:32,="YJH139E00",="00000396",="1024023184"
2016/8/26,17:49:59,="YJ5108E03",="131X0436",="1024023185"
2016/8/26,17:57:10,="YJ5108E03",="131X0437",="1024023186"
2016/8/26,18:57:54,="YJ5108E02",="131X0377",="1024023187"
2016/8/26,19:4:24,="YJ5108E02",="131X0376",="1024023344"
2016/8/27,6:32:39,="YJ5108E03",="131X0438",="1024023188"
2016/8/27,10:51:13,="YJ5108M01",="131X0471",="1024108859"
2016/8/27,11:0:42,="YJ5108X01",="131X0437",="1024108860"
2016/8/27,21:42:16,="YJ5133E00",="131X0299",="1024023189"
2016/8/29,11:11:34,="YJ5108M01",="131X0472",="1024108861"
2016/8/29,11:27:41,="YJ5108X01",="131X0438",="1024108862"
2016/8/29,13:32:0,="YJ5108K04",="131X0452",="1024092425"
2016/8/29,21:55:0,="YJ5108M01",="131X0473",="1024108863"
2016/8/30,7:1:14,="YJ5133E00",="131X0300",="1024023190"
2016/9/2,10:10:3,="YJ5108K04",="131X0452",="1024092426"
2016/9/2,20:8:31,="YJ5108K03",="141X0491",="1024095583"
2016/9/2,20:25:9,="YJ5108K03",="141X0492",="1024095584"
2016/9/2,20:41:24,="YJ5108K03",="141X0493",="1024095585"
2016/9/5,13:34:42,="YJ5108K03",="141X0494",="1024082016"
2016/9/5,13:42:24,="YJ5108K03",="141X0495",="1024087700"
2016/9/5,14:53:56,="YJ5108K01",="141X0551",="1024008524"
2016/9/5,15:1:26,="YJ5108K01",="141X0552",="1024008525"
2016/9/5,15:41:40,="YJ5108E02",="141X0186",="1024023191"
